Parent|Status|Heading|Suggested Unit|Suggested Type|Description|Example
PROJ|*R|PROJ_ID||ID|Project identifier|121415
PROJ||PROJ_NAME||X|Project title|ACME Gas Works
PROJ||||||Redevelopment
PROJ||PROJ_LOC||X|Location of site|High Street, Anytown
PROJ||PROJ_CLNT||X|Client name|ACME Enterprises
PROJ||PROJ_CONT||X|Contractors name|ACME Drilling Ltd
PROJ||PROJ_ENG||X|Project Engineer|ACME Consulting
PROJ||PROJ_MEMO||X|General project comments|
PROJ||FILE_FSET||X|Associated file reference (e.g. project specification, site location drawings)|FS1
ABBR|*R|ABBR_HDNG||X|Field heading in group|LOCA_TYPE
ABBR|*R|ABBR_CODE||X|Abbreviation used|TP
ABBR|R|ABBR_DESC||X|Description of abbreviation|Trial Pit
ABBR||ABBR_LIST||X|Source of abbreviation|AGS4
ABBR||ABBR_REM||X|Remarks|
ABBR||FILE_FSET||X|Associated file reference (e.g. contract data specification)|FS1
DICT|*R|DICT_TYPE||PA|Flag to indicate definition is a GROUP or HEADING (i.e. can be either of GROUP or HEADINGHEADING)|HEADING
DICT|*R|DICT_GRP||X|Group name|NGRP
DICT|*|DICT_HDNG||X|"Heading name (Note: This data is REQUIRED where DICT_TYPE=""HEADING"")"|NGRP_HED1
DICT||DICT_STAT||PA|"Heading status KEY, REQUIRED or OTHER (Note: This data is REQUIRED where DICT_TYPE=""HEADING"")"|OTHER
DICT||DICT_DTYP||PT|"Type of data and format (Note: This data is REQUIRED where DICT_TYPE=""HEADING"")"|2DP
DICT|R|DICT_DESC||X|Description|New group heading 1
DICT||DICT_UNIT||PU|"Units (Note: This data is REQUIRED where DICT_TYPE=""HEADING"")"|mg/kg
DICT||DICT_EXMP||X|Example|20
DICT||DICT_REM||X|Remarks|
DICT||FILE_FSET||X|Associated file reference|FS1
FILE|*R|FILE_FSET||X|File set reference|FS128
FILE|*R|FILE_NAME||X|File name|BH1_Core_West.JPG
FILE||FILE_DESC||X|Description of content|BH1 Core photo box 8
FILE||FILE_TYPE||PA|File type|JPG
FILE||FILE_PROG||X|Parent program and version number|Irfanview v4.10
FILE||FILE_DOCT||PA|Document type|PH
FILE||FILE_DATE|yyyy-mmddThh:mm|DT|File date|2009-04-01T10:45
FILE||FILE_REM||X|Comments on file|
TRAN|*R|TRAN_ISNO||X|Issue sequence reference|1
TRAN|R|TRAN_DATE|yyyymm-dd|DT|Date of production of data file|39904
TRAN|R|TRAN_PROD||X|Data file producer|ACME Drilling Ltd
TRAN|R|TRAN_STAT||X|Status of data within submission|Draft
TRAN||TRAN_DESC||X|Description of data transferred|Draft logs only
TRAN|R|TRAN_AGS||X|AGS Edition Reference|4.1
TRAN|R|TRAN_RECV||X|Data file recipient|ACME Consulting
TRAN||TRAN_DLIM||X|Record Link data type Delimiter|"|"
TRAN||TRAN_RCON||X|Concatenator|+
TRAN||TRAN_REM||X|Remarks|
TRAN||FILE_FSET||X|Associated file reference (e.g. data file QA check records)|FS1
TYPE|*R|TYPE_TYPE||X|Data type code|0DP
TYPE|R|TYPE_DESC||X|Description|Numeric, zero decimal places
TYPE||FILE_FSET||X|Associated file reference|FS1
UNIT|*R|UNIT_UNIT||X|Unit|ohm m
UNIT|R|UNIT_DESC||X|Description|ohm metres
UNIT||UNIT_REM||X|Remarks|
UNIT||FILE_FSET||X|Associated file reference|FS1
AAVT|*|LOCA_ID||ID|Location identifier|327-16A
AAVT|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
AAVT|*|SAMP_REF||X|Sample reference|24
AAVT|*|SAMP_TYPE||PA|Sample type|U
AAVT|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
AAVT|*|SPEC_REF||X|Specimen reference|1a
AAVT|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
AAVT||SPEC_DESC||X|Specimen description|Grey angular limestone
AAVT||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
AAVT||AAVT_AAV||2SF|Aggregate Abrasion Value|8.3
AAVT||AAVT_REM||X|Remarks|
AAVT||AAVT_METH||X|Test method|BS 812: Part 113: 1990
AAVT||AAVT_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
AAVT||AAVT_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
AAVT||TEST_STAT||X|Test status|Checked
AAVT||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
AAVT||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
AAVT||AAVT_DEV||X|Deviation from the specified procedure|
ACVT|*|LOCA_ID||ID|Location identifier|327-16A
ACVT|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ACVT|*|SAMP_REF||X|Sample reference|24
ACVT|*|SAMP_TYPE||PA|Sample type|U
ACVT|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ACVT|*|SPEC_REF||X|Specimen reference|1a
ACVT|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ACVT||SPEC_DESC||X|Specimen description|Grey angular limestone
ACVT||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ACVT||ACVT_ACV|%|0DP|Aggregate Crushing Value|17
ACVT||ACVT_FRAC||X|Size fraction from which test portion was obtained|10-14mm aggregate
ACVT||ACVT_REM||X|Remarks|
ACVT||ACVT_METH||X|Test method|BS 812: Part 110: 1990
ACVT||ACVT_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
ACVT||ACVT_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
ACVT||TEST_STAT||X|Test status|Checked
ACVT||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
ACVT||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
ACVT||ACVT_DEV||X|Deviation from the specified procedure|
AELO|*|LOCA_ID||ID|Location identifier|327-16A
AELO|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
AELO|*|SAMP_REF||X|Sample reference|24
AELO|*|SAMP_TYPE||PA|Sample type|U
AELO|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
AELO|*|SPEC_REF||X|Specimen reference|1a
AELO|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
AELO||SPEC_DESC||X|Specimen description|Grey angular limestone
AELO||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
AELO||AELO_EI||0DP|Aggregate elongation index|9
AELO||AELO_REM||X|Remarks|
AELO||AELO_METH||X|Test method|
AELO||AELO_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
AELO||AELO_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
AELO||TEST_STAT||X|Test status|Checked
AELO||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
AELO||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
AELO||AELO_DEV||X|Deviation from the specified procedure|
AFLK|*|LOCA_ID||ID|Location identifier|327-16A
